,alt,time
1998-10-21,0.2279219401370841,14.798309872669892
2000-10-01,0.2142076157803173,4.908396257123261
2004-03-13,0.22177400679031378,15.539263565796166
2004-03-20,0.35473378624443885,1.400947670814901
2004-09-06,11.23161961639326,17.953248530587974
2005-06-03,12.67583076319859,22.582998042392525
2006-08-26,0.2505233395806314,22.97420736680876
2006-11-24,0.251853576338337,20.148436455335897
2007-11-09,0.21896664842644778,10.631294843018562
2009-02-24,84.54600211237661,16.957572303855358
2009-06-18,0.37053782591730033,13.938026015859938
2009-06-18,0.2059336101458087,10.316433349295458
2009-08-16,11.52041315415478,18.736989642033194
